
term,week,name,day,time,venue,inCharge,boyInCharge,googleClassroomLink
Autumn 2025,,Inter-house Hindi Debates (Sr) - Semifinals,Fri,,,,,
Autumn 2025,,International Chemistry Quiz,Fri,,,,,
Autumn 2025,,Tutorial Meeting Lunch,Sat,,,,,
Autumn 2025,,Artist in Residence (Debating and Public Speaking) ends,Sat,,,,,
Autumn 2025,,Inter-house Hindi Debates (Sr) - Finals,Sat,,,,,
Autumn 2025,,RLSS Camp ends,Sat,,,,,
Autumn 2025,,DSOBS vs School Football Team (TBC),Sat,,,,,
Autumn 2025,,Doon School Admission Test,Sun,,,,,
Autumn 2025,,School team returns from IPSC Music,Sun,,,,,
Autumn 2025,,Call Over - Oberoi House,Sun,,,,,
Autumn 2025,,D form Hindi Debating league begins,Mon,,,,,
Autumn 2025,,"School team leaves for IPSC Dance at RKK Girls' School, Jodhpur",Mon,,,,,
Autumn 2025,,School Council meeting,Thu,,,,,
Autumn 2025,,Independence Day,Fri,,,,,
Autumn 2025,,Janmashtami,Sat,,,,,
Autumn 2025,,The Doon School Model United Nations Conference begins,Sat,,,,,
Autumn 2025,,School team leaves for IPSC Badminton and IPSC Table Tennis at Emerald Heights International School Indore,Sun,,,,,
Autumn 2025,,D form Hindi Debating league ends,Sun,,,,,
Autumn 2025,,Call Over - Tata House,Sun,,,,,
Autumn 2025,,The Doon School Model United Nations Conference ends,Mon,,,,,
Autumn 2025,,School team returns from IPSC Dance,Mon,,,,,
Autumn 2025,,"Round Square Regional Conference at Sunbeam School, Lahartara begins",Tue,,,,,
Autumn 2025,,TOEFL Test,Wed,,,,,
Autumn 2025,,Uttarakhand state Inter-school shooting championship,Wed,,,,,
Autumn 2025,,The Doon School Junior Football Tournament begins,Fri,,,,,
Autumn 2025,,School team returns from IPSC Badminton and IPSC Table Tennis,Fri,,,,,
Autumn 2025,,"Parent Teacher Meeting – SC Form, S Form, and A Form",Sat,,,,,
Autumn 2025,,SAT exam,Sat,,,,,
Autumn 2025,,Round Square Regional Conference ends,Sat,,,,,
Autumn 2025,,MUN Training - D and C Form,Sat,,,,,
Autumn 2025,,Artist in Residence (Art) ends,Mon,,,,,
Autumn 2025,,Hindustani Instrumental workshop begins,Mon,,,,,
Autumn 2025,,Final Submission for Shanti Swaroop Essay Contest,Tue,,,,,
Autumn 2025,,College Fair,Tue,,,,,
Autumn 2025,,Hindustani Instrumental workshop ends,Wed,,,,,
Autumn 2025,,"Kamla Jeevan Debates, Chuckerbutty Memorial Debates",Thu,,,,,
Autumn 2025,,The Doon School Quiz & JEDI begins,Thu,,,,,
Autumn 2025,,Pracheen Kala Kendra Theory Examination (TBC),Thu,,,,,
Autumn 2025,,The Doon School Junior Football Tournament ends,Fri,,,,,
Autumn 2025,,"Kamla Jeevan Debates, Chuckerbutty Memorial Debates, The Doon School Quiz & JEDI ends",Sun,,,,,
Autumn 2025,,Audition for Vikram Seth Statesmen Poetry Competition,Mon,,,,,
Autumn 2025,,Workshop on Executive Function Skills and Exam Stress Management - A form,Mon,,,,,
Autumn 2025,,Inter-house Hockey begins,Mon,,,,,
Autumn 2025,,Workshop on Executive Function Skills and Exam Stress Management - SC form,Tue,,,,,
Autumn 2025,,"Inter-house Music Competition: Piano Solo, Classical Vocal, Percussion Orchestra",Tue,,,,,
Autumn 2025,,Inter-house Music Competition: Indian Orchestra and Choir,Wed,,,,,
Autumn 2025,,Library Council meeting,Thu,,,,,
Autumn 2025,,Delegation leaves for Bangkok for the WSC Global round,Thu,,,,,
Autumn 2025,,"Delegation leaves for IPSC MUN at Lawrence School, Sanawar",Thu,,,,,
Autumn 2025,,"Parent Teacher Meeting – B Form, C Form, and D Form",Sat,,,,,
Autumn 2025,,IOQM,Sun,,,,,
Autumn 2025,,Delegation returns from IPSC MUN,Sun,,,,,
Autumn 2025,,Joint meeting of Housemasters' and Academic Council,Mon,,,,,
Autumn 2025,,Meraki 2025- Interschool Design Competition (TBC),Mon,,,,,
Autumn 2025,,Math-around-us-week begins,Mon,,,,,
Autumn 2025,,September Assessment begins,Mon,,,,,
Autumn 2025,,RSIC Dubai ends,Fri,,,,,
Autumn 2025,,September Assessment ends,Sat,,,,,
Autumn 2025,,French Exchange - Lycee Ozanam visits TDS,Sat,,,,,
Autumn 2025,,Inter-house Triathlon,Sun,,,,,
Autumn 2025,,House Feast,Sun,,,,,
Autumn 2025,,Housemasters' Council Meeting,Mon,,,,,
Autumn 2025,,"School team leaves for IPSC Shooting (U-19) & IPSC Tennis (U-14 & 17) at Daly College, Indore",Mon,,,,,
Autumn 2025,,Gandhi Jayanti,Thu,,,,,
Autumn 2025,,Dussehra,Thu,,,,,
Autumn 2025,,School Council Meeting,Fri,,,,,
Autumn 2025,,Theatre Workshop begins,Fri,,,,,
Autumn 2025,,Report Card meeting for A and SC form,Sat,,,,,
Autumn 2025,,School team returns from IPSC Shooting & IPSC Tennis,Sat,,,,,
Autumn 2025,,Theatre Workshop ends,Sun,,,,,
Autumn 2025,,"School team leaves for IPSC Football at Daly College, Indore",Sun,,,,,
Autumn 2025,,French Exchange ends,Sun,,,,,
Autumn 2025,,Academic Council meeting,Mon,,,,,
Autumn 2025,,Inter-house Athletics begins,Thu,,,,,
Autumn 2025,,School team leaves for Basketball tournament at Mayo College (TBC),Thu,,,,,
Autumn 2025,,School team returns from IPSC Football,Sat,,,,,
Autumn 2025,,Founder's Day - DS 90,Thu,,,,,
Autumn 2025,,Inter-house Athletics ends,Thu,,,,,
Autumn 2025,,Founder's Day - DS 90,Fri,,,,,
Autumn 2025,,Founder's Day - DS 90,Sat,,,,,
Autumn 2025,,Students leave for Founder's Night Out,Sat,,,,,
Autumn 2025,,Deepawali,Mon,,,,,
Autumn 2025,,"Team leaves for the India Today Debates at Vasant Valley School, Delhi (TBC)",Wed,,,,,
Autumn 2025,,Green Olympiad (TBC),Wed,,,,,
Autumn 2025,,Students return from Founder's Night Out,Thu,,,,,
Autumn 2025,,ACT exam,Sat,,,,,
Autumn 2025,,Options at 14+,Mon,,,,,
Autumn 2025,,PSAT exam,Tue,,,,,
Autumn 2025,,"School team leaves for IPSC Hockey at B K Birla Centre for Education, Pune",Tue,,,,,
Autumn 2025,,Options at 14+,Tue,,,,,
Autumn 2025,,FIT 1 & FIT 2 - German Certificate Exams,Wed,,,,,
Autumn 2025,,"School team leaves for IPSC Basketball (Under 14, Boys) at Birla Public School, Pilani (TBC)",Thu,,,,,
Autumn 2025,,Housemasters' Council Meeting,Fri,,,,,
Autumn 2025,,Rock School Music Examination,Fri,,,,,
Autumn 2025,,Tareekh: Paper presentation,Fri,,,,,
Autumn 2025,,Industrial trip for B form Commercial Application students (TBC),Sat,,,,,
Autumn 2025,,District Athletics Meet (TBC),Sat,,,,,
Autumn 2025,,House Feast,Sat,,,,,
Autumn 2025,,School team returns from IPSC Hockey,Sun,,,,,
Autumn 2025,,"School teams leaves for IPSC Cricket Emerald Heights International School, Indore",Sun,,,,,
Autumn 2025,,"School team leaves for IPSC Boxing to BPS, Pilani (TBC)",Sun,,,,,
Autumn 2025,,Inter-house Basketball begins,Mon,,,,,
Autumn 2025,,Poetry Appreciation Evening,Tue,,,,,
Autumn 2025,,International Informatics Olympiad,Tue,,,,,
Autumn 2025,,Options at 16+,Tue,,,,,
Autumn 2025,,Guru Nanak Jayanti,Wed,,,,,
